"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2023","2023",439,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2024","2024",451,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2019","2019",1498,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",1513,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2021","2021",1519,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2022","2022",1465,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2023","2023",1388,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2024","2024",1389,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2019","2019",705,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",735,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2021","2021",753,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2022","2022",726,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2023","2023",650,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2024","2024",690,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2019","2019",1030,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",981,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2021","2021",992,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2022","2022",947,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2023","2023",893,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2024","2024",931,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2019","2019",793,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",778,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2021","2021",766,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2022","2022",739,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2023","2023",738,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2024","2024",699,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2019","2019",527,,
